TrueAbun,EstF1,StdErrF1,ODTradF1,ODPercF1,EstR1,StdErrR1,ODTradR1,ODPercR1,EstF2,StdErrF2,ODTradF2,ODPercF2,EstR2,StdErrR2,ODTradR2,ODPercR2,EstF3,StdErrF3,ODTradF3,ODPercF3,EstR3,StdErrR3,ODTradR3,ODPercR3,EstF4,StdErrF4,ODTradF4,ODPercF4,EstR4,StdErrR4,ODTradR4,ODPercR4,SRS.Est,SRS.StdErr
1038,778.278902225815,71.8484145762145,1,1.12555091228994,781.905403143138,52.9301236226812,1,1.10663434575411,778.62364612092,71.8952433388554,1,1,779.042875802683,47.3661034948229,1,1,783.460026398804,73.042790040972,1,1.14775845144031,779.618575423466,48.2317295613941,1,1.07810592733503,787.039180783043,74.551704214533,1,1,780.087093792206,43.6771380682703,1,1.0286588965418,867.346938775513,103.205616087941
1084,922.942944498504,78.2254915233106,1,1.1591685604215,925.848627716804,57.8074117168306,1,1.22705893821271,923.195660045853,78.2760370029477,1,1.25057081007878,923.970962571411,52.9936337607594,1,1.21685194673312,922.003058854785,78.1291081542293,1,1.2451169796594,927.295668243087,52.6833343543333,1,1.28822001970194,921.811212355866,78.1539828015335,NA,1.27983826035648,924.747787986262,49.8058137311552,1,1.36212348820145,1028.91156462585,125.540169443857
1031,968.063301694311,80.5771165989002,1,1.57433885368504,967.00059558817,64.2249678041053,1,1.57059597897721,967.927965335271,80.6975481510893,1,1.45308321951616,967.166990354675,61.008239545587,1,1.59823982929646,973.643294454855,81.9037971051948,1,1.24459652512648,966.990572585485,58.7741533277722,1,1.62649079345356,983.723647382237,85.9828582908489,1,1.40664317312836,967.166719145194,54.3335870818678,1,1.55166288848347,1071.42857142857,133.183503124293
951,944.614966697152,79.0744546021061,1,1.58595900412368,948.074525011434,68.1202714302645,1,1.58819276308233,945.452640431858,79.1534039358047,1,1.62597326427573,945.446587417907,63.6251023691417,1,1.60407987823792,954.632039911043,80.6793402087936,1,1.5671783289959,946.435158223157,59.7249923358309,1,1.80453205652977,942.431466539179,78.9367006835192,1,1.32749225283966,947.494707703473,57.8934447612609,1,1.89236393415514,1054.42176870749,132.421527043082
984,883.480882731891,76.4632790454637,1,1.21403075724705,886.147789864381,56.0304508168302,1,1.18867330228995,883.226369721902,76.438327851109,1,1.3724837103578,883.073457095236,51.3096644982065,1,1.28179565820382,885.147046080185,76.7939528409857,1,1.32879165822912,884.016395083283,48.7835472775167,1,1.31338335940141,4945.15533496188,74188.1106290269,1,1.14579902459897,886.593379567497,47.5879261344615,1,1.27638213677441,986.394557823132,129.789146492467
1010,1067.22806537534,84.946625016401,1,1.8695770824974,1040.04731330069,78.9696353898599,1,1.73239676095787,1048.09731738626,84.294763637733,1,1.84938576703949,1044.83782556676,71.8013616628617,1,1.92498088101632,1043.28994011524,84.1908266386813,1,1.6803439735033,1046.95052281702,62.5435485805003,1,1.86240985116297,63683.3496486581,1377.20459684599,7.12720156327606,39.1625946963476,1049.84557595949,59.8295307533309,1,1.98553804804368,1156.46258503402,190.726005970172
1015,996.44611174289,81.57701490409,1,1.2096889078177,998.011394397127,61.2443350843075,1,1.21898661716837,1007.72604135124,83.2740701770436,1,1.10266713157485,998.960989665061,58.4051402816053,1,1.23326402126425,1009.95260567469,84.057976117947,1,1.14155274966119,998.646343610354,57.2700126308871,1,1.29852464888856,1010.8510593924,85.3219769636532,1,1.26584336592783,999.428638641571,56.1783710965757,1,1.38385227049632,1105.44217687075,155.395263364063
994,874.315247213162,76.4466732141629,1,1,875.040911666894,59.5095766137249,1,1,879.826089281741,77.2546129977477,1,1,875.42395635402,55.9453980139486,1,1.02380736064884,886.769351061566,78.9144447930721,1,1.06056396984445,876.677450746763,54.3832766504781,1,1.1274016912495,885.38924490875,78.9044650699913,1,1.33551998366247,877.531373755667,52.5627406844812,1,1.31997006435698,969.387755102043,119.740481374671
978,928.470693803115,78.3488310146424,1,1.54062289477552,933.555198946484,60.4256499782838,1,1.49296734580269,928.179496954467,78.3348517783511,1,1.39666360584199,929.41845054167,57.1806236411633,1,1.52910603195867,927.299551761441,78.2693540539235,1,1.45738524834912,927.934292744909,52.0704561953226,1,1.42738834383641,926.90004735422,78.2151847789835,1,1.44987339620328,927.511082910569,48.8504689574327,1,1.39113472504454,1037.4149659864,134.057202396102
1013,1078.16229926887,84.7046199477147,1,1.29449691648653,1084.30867829289,67.3535751706065,1,1.27936058676623,1076.22504123386,84.5349712606662,1,1.20169381404181,1082.57982392229,64.1854445417911,1,1.15877598316294,1075.63183426541,84.4562571528505,1,1.28173987554956,1081.24279010763,60.7891714704819,1,1.15348622186779,1078.37688578894,84.8181561536599,1,1.35503885934865,1081.94424075122,59.5351893629586,1,1.47489373306929,1198.97959183674,163.810780138526
1017,1090.46091649627,85.0224143616188,1,1.03547473541399,1096.9218790791,70.4423145855615,1,1,1090.36930477999,85.0223901202277,1,1.13203314043794,1092.45982377474,60.8122466005088,1,1.16956414470677,1093.31490593808,85.3780389130324,1,1.20874273796525,1092.3288264482,57.911675100288,1,1.20049417179726,1103.41881546443,96.7208324588652,1,1.26179050848299,1093.13723915332,58.1043702455231,1,1.35516686388596,1215.98639455783,146.740489612297
1000,1091.48765631244,85.0880441974159,1,1.01977996562913,1093.48194492596,59.6486177005128,1,1.10748261292068,1094.65581858412,85.4164574651449,1,1.08922799277975,1093.48016027425,54.9031063297566,1,1.19895527111083,1093.35516866813,85.4325005617107,1,1.16095681237888,1093.7642345133,54.4815831046937,1,1.41069440901155,1099.58399103537,87.7117296530456,1,1.22305568074669,1095.1266990212,54.2299883804013,1,1.49727719547828,1215.98639455783,165.567444982378
1061,1258.33840422934,91.3204185481517,1.21297722121837,2.22244150607241,1261.09438156027,89.9961350825933,1,2.46031958890062,1259.39793941966,91.4227823744414,1,2.36427748202132,1258.57239187682,78.684366967469,1,2.36220755973196,1258.0536330511,91.3022595751483,1,1.7909014945972,1259.94285853461,69.6775755867491,1,2.14286968558589,1263.15787008975,91.931050467493,1,1.91305725005368,1259.33773648554,67.926772138905,1,2.10796634806244,1403.0612244898,231.09649266682
1043,1017.69539735149,82.349869606036,1,1.31372127038428,1020.00745944726,62.3883638290054,1,1.34744771899028,1019.4641696454,82.574902374413,1,1.24417339582587,1018.07238749607,60.2472893983766,1,1.30357969749486,1023.12756530619,83.1455225993917,1,1.27168933885065,1018.37692505227,59.5712696649519,1,1.42335141037493,1023.16648999243,83.2465526180868,1,1.25213169924325,1019.43441730636,58.2869637926599,1,1.47944968404511,1130.95238095238,145.120054609575
1011,1049.28955684047,83.6748875563938,1,1.25864678313848,1052.35606370978,63.4621074053048,1,1.28512650144637,1048.9641050533,83.670807815559,1,1.37143974090927,1051.02768308668,61.5986194400058,1,1.38482368714325,1045.9224328465,83.311005077846,1,1.32505375754328,1051.57419015568,59.9688028386461,1,1.47236082887941,1046.13683329568,83.3459195566216,1,1.41336767847042,1051.32144077245,56.8711481589495,1,1.49002964304461,1164.96598639456,165.72177768557
1040,952.532099849887,79.41716347111,1,1.22842877144605,959.9269796791,66.3317905533864,1,1.06623270647748,953.423899248075,79.5093030117698,1,1.33014356710416,954.67171591717,61.0672714394365,1,1.21395412276378,953.851759328142,79.6055998817129,1,1.11375421786271,954.749466342701,59.337898982086,1,1.2845154538593,952.149543898954,80.8438091246715,1,1.02331624762484,955.216174164548,57.9581909174259,1,1.55947839037659,1062.92517006803,128.150113548413
994,957.344448816257,79.9173063362577,1,1.3647029969166,958.404357056904,65.315163242423,1,1.3829947660277,961.482162436121,80.4624424486134,1,1.5542403215066,957.017292072714,63.8785372381129,1,1.39587108468599,965.724547775005,81.3217932081162,1,1.5377495457254,957.828638122033,61.1336975520207,1,1.40694830708538,973.37287790968,83.2319544437115,1,1.61907356268507,958.943269070148,59.8718701118708,1,1.51795116814789,1062.92517006803,146.749200099081
