TrueAbun,EstF1,StdErrF1,ODTradF1,ODPercF1,EstR1,StdErrR1,ODTradR1,ODPercR1,StdErrFV1,StdErrRV1,EstF2,StdErrF2,ODTradF2,ODPercF2,EstR2,StdErrR2,ODTradR2,ODPercR2,StdErrFV2,StdErrRV2,EstF3,StdErrF3,ODTradF3,ODPercF3,EstR3,StdErrR3,ODTradR3,ODPercR3,StdErrFV3,StdErrRV3,EstF4,StdErrF4,ODTradF4,ODPercF4,EstR4,StdErrR4,ODTradR4,ODPercR4,StdErrFV4,StdErrRV4,EstSRS,StdErrSRS
985,990.045468024463,49.8135711610056,1,1.3169256430939,992.250231146342,47.0073388499563,1,1.34459863759542,59.2967554970717,56.2468454681309,979.908103964814,48.9979430948869,1,1.52292031071469,981.895584007204,44.0628137127458,1,1.62971717227479,58.6059319364698,53.0327827419158,987.275816778111,49.7202392162102,1,1.61781577318672,983.645662764249,41.8387255512028,1,1.5692045509239,59.6545207417659,50.845940040004,988.330686290709,49.876043922813,1,1.52148440927977,984.947540471381,40.3848600943153,1,1.72159077950738,60.0117208961506,49.4276604615126,1125.91332829428,114.499313855054
1008,1105.15494636397,52.4158392687082,1,1.39492405601491,1105.62610294195,47.086464348003,1.05495501061778,1.40817235518514,63.9200825516946,57.8193601398513,1098.91945920536,51.9764132502009,1,1.53119931544381,1097.34082199064,44.342444652431,1,1.85970597059125,63.6908162412049,54.8752700756313,1103.29689840717,52.3731971434677,1,1.71608994119084,1100.57073922379,44.0223479875256,1,1.70651423989437,64.1657841538983,54.6114036686775,1104.01353646494,52.4601408249586,1,1.82244360127907,1099.7285904623,43.5791397440974,1.11081540633932,2.11239799111799,64.3764013954014,54.1922450351412,1259.76316452507,127.435206075663
992,1065.22642269305,51.3746796629485,1.11845108897916,1.88839353009571,1058.10952382436,48.0967311479124,1.26585989968497,1.96144934415105,62.4538303922682,58.6642834243664,1053.55579743222,50.4728840093838,1,1.60272336860576,1054.77347946515,47.5118581218532,1,1.77361653680734,61.7586495972243,58.3262124816463,1057.19956594969,50.8560693450236,1,1.71427583446424,1055.50195145793,46.1057984560376,1,1.62658495205414,62.3647264505071,56.9153411008956,1059.81786739409,51.323108059806,1,1.79031641399694,1057.23211757198,43.9162824502834,1,2.22657814664097,63.0161259421545,54.5508291665661,1216.45880574452,132.20849060451
957,881.466111493827,47.4680328836104,1.28359446150954,1.476124689887,866.061394394181,38.9887813810555,2.45980992085502,1.81498369956002,56.7874163506155,47.3660322490382,874.297457528351,46.8632015374479,1,1.71008338517794,871.376351727951,39.2292715206316,1.08178317380375,1.71163766354825,56.0131605290883,47.6499598446555,876.619748232033,47.1673383601993,1,1.53681748437506,870.864158896589,37.2989403239892,29.757099808124,1.64084152348485,56.6687148773744,45.7966557927896,878.430895990246,47.3584054365286,1,1.54828303750557,871.645887693339,36.8331286905651,64.6452904068602,1.60929723468988,57.0617376364299,45.4504398219389,992.063492063492,116.790511179927
989,1033.15206144197,50.4981502027624,1,1.62503609271681,1032.53958365166,43.2631428285095,1,1.648509681203,60.7056501644717,52.6526296434122,1034.83715840743,50.7402086047851,1,1.7369666494468,1035.6804712537,43.4474813632645,1,1.81174829063693,61.2527213635382,52.8714386404561,1039.3753953816,51.210988267883,1,1.59245075015823,1033.6838126896,41.6555033954328,1,1.60952510969967,62.1097450176303,51.3108491579329,1038.0862752154,50.9905626285783,1,1.55724952771993,1036.57552321635,41.4385736586933,1,1.694978518584,61.9309664693632,51.165485357297,1181.02796674225,127.140765257073
1032,1120.95333123111,53.5394584999369,1,1.39003479327962,1121.32192745937,46.1983692161785,1,1.34610904986045,64.2514162502377,55.979997756848,1114.34473836472,53.1601997936474,1,1.25670124774035,1114.04616824401,44.2563014159183,1,1.3657615476704,63.9575923817926,53.9023083970942,1113.36968027067,53.1020812385006,1,1.09464308461709,1114.51487377298,43.4924423717326,1,1.35095199289511,63.9819501048809,53.1008899292541,1119.53684467466,53.788919305205,1,1.09358423011488,1113.84962445017,42.4973438747405,1,1.31240042213278,64.9666985325507,52.0408397601062,1263.69992441421,112.669910410301
995,917.86289520967,48.3138089675221,1.0213378058276,1.42098312791201,913.184239428596,46.9811377852055,1.1143516430469,1.48755682595157,58.6892947863447,57.1684409727594,909.706586827014,47.6953422756904,1,1.91716755740089,911.979520641806,43.7748613984935,1,1.76907666992635,57.8377557057275,53.5668963348207,919.642830130673,48.6744455665844,1,1.75375651965197,915.062875474932,41.3031598583146,1,1.96105897297567,58.9518655265419,50.925892597682,938.016422681798,53.6158101018989,1,1.65537734994232,916.173853868045,40.3541941073225,1,1.95973319142312,64.4955664118277,49.843358494394,1035.36785084404,133.241658539019
945,899.535057920958,47.0222947667234,1,1.40934986799242,902.837236919492,39.2400133438982,1,1.42032861679163,54.7022833884242,46.3191540249903,898.367845622437,46.9595333299321,1,1.48711818103649,897.636582394514,38.7277801895818,1,1.44683156697273,55.0421582513728,46.0039759692762,900.885136624371,47.2542332700493,1,1.20434421817608,895.124074875431,35.6620120353833,2.49548550521578,1.23540779390054,55.4297952571774,42.9617450857838,901.105978534377,47.2991924410728,1,1.29364408875702,896.180777925958,35.6729761451813,1.53168925332901,1.31833519757719,55.5886025824637,43.0140247013677,1031.4310909549,96.7851347249503
984,914.989672419222,47.3141405598852,1,1.3532815312726,917.801568617758,38.8539874105384,1,1.29177207834365,56.3294029970345,47.1203586781769,908.657657760538,46.7813356482576,1,1.3746883147449,910.983955882242,36.852790882336,1,1.48150098244177,56.2011466799961,45.2304980333559,909.77157046187,46.9245565290141,1,1.42297020845062,912.292110425452,36.8254118778193,1,1.53242177911679,56.3920779582514,45.2652615407604,908.786909288825,46.8307893372941,1,1.57316180793846,911.89615066871,36.6318804651868,1,1.67655631817104,56.439798676951,45.1757239031294,1051.1148904006,115.167036185111
1002,967.733305717,49.0926862987451,1,1.94442029321441,967.819302984923,44.1928716319977,1,1.75595712748041,58.6505146937985,53.3060058979315,957.977175394526,48.325420588709,1,1.40609953593318,960.662257386663,43.8620112681637,1,1.69414198762548,58.3350870685379,53.1546105428591,960.130781258688,48.6434143698921,1,1.76939949982284,963.391585813075,40.6767922395772,1,1.66584754329551,58.6103480795965,49.7900030786197,956.21799026939,48.8461776937323,1,1.56433654008755,961.586177634223,38.497603785784,1,1.70161000529701,58.8817533737071,47.4845750753959,1102.29276895944,124.291328581214
