TrueAbun,EstF1,StdErrF1,ODTradF1,ODPercF1,StdErrFV1,EstF2,StdErrF2,ODTradF2,ODPercF2,StdErrFV2,EstF3,StdErrF3,ODTradF3,ODPercF3,StdErrFV3,EstF4,StdErrF4,ODTradF4,ODPercF4,StdErrFV4,EstSRS,StdErrSRS
1016,1029.03055883652,50.6566075790896,1,1.71774341151682,60.3851429072699,1012.02875969592,49.2909779886637,1,2.04275887231598,58.6092817445728,1027.82308249168,50.9742185915496,1,1.77138986270486,61.372245177296,1036.71088832805,52.5523212925881,1,1.70251731540283,63.1825455771555,1173.15444696397,121.936619858772
998,1101.12640061036,51.5237388537024,1,1.36243637181405,63.9753290339351,1101.9306746308,51.6047098300934,1,1.34902345583441,64.121891481678,1102.89333078234,51.7457881996918,1,1.43049125678992,64.2221658724379,1105.07982115199,51.9245726058099,1,1.2772144893448,64.6966704771588,1271.57344419249,142.846082817393
1022,997.637452001213,49.3278317443498,1.1789448474921,1.45276330714026,59.27569907384,992.145545055978,48.9681679250138,1.08945327815849,2.14811289540885,59.1541301083474,998.00762527124,49.5276670653285,1,1.68341885779194,60.2472155334405,1003.40075514727,50.3248505144752,1,1.71586559075277,61.3027732122031,1145.59712773998,128.510432813745
1001,1118.10090918371,52.8535068844085,1.47761667313985,2.99305942923651,64.0112372872597,1108.47479021345,52.2683567183153,1.38020991678319,1.6867250898573,63.8689926172858,1113.51860196374,52.7759766553242,1,1.57464236269425,64.7946772371991,4.30166111952433e+20,1.81450482344246e+22,NA,1.48251069262495,2.16251938275765e+22,1271.57344419249,131.445876993567
1035,1062.89637826701,51.1074180920408,1,2.01782320908195,62.5320988461808,1062.68360212093,51.2571332372844,1,2.30086695581716,62.7277218116773,1059.0208699815,50.9857525514434,1,1.734529591382,62.5708653717608,1061.83402231931,51.2321250082978,1,1.79560543677812,62.8920786721513,1216.45880574452,134.552896466245
1016,985.327980898276,49.6710530059229,1,1.94396675374105,57.9876179770558,974.610190546167,48.7801666619311,1,1.68466351425385,57.5934526900562,977.347540384707,49.1135636299203,1,1.73448802671646,57.9289914694211,976.308913792874,48.9964517076308,1,1.80607498676776,58.2500170566816,1121.97656840514,108.473715800626
1024,1021.71279523902,49.6123217600759,1,1.90032309112136,59.5277895904456,1026.60361955363,50.0610096132254,1,1.65701236774152,60.3768608431363,1032.33569918994,50.6014027543684,1,1.71246139746699,60.9636291603074,1034.2402839024,50.8771942366124,1,1.53103821834994,61.9664766194787,1181.02796674225,128.319488951383
1022,1072.6542064947,51.1645237172588,1.12315416168876,3.05520919582313,61.1758383100948,1069.34362091546,51.1435193529969,1,2.08798341104395,61.7517716748744,1070.92053049889,51.2004371812958,1,2.13005955949696,61.8892070610415,1067.96876731728,52.3677275811366,NA,1.73509144656406,63.885162890465,1232.20584530108,128.281798983551
954,872.265045624889,46.1810538026869,1,1.54918103266911,54.479699337673,871.371438197186,46.1741332157175,1,1.76317496054484,54.7813442034682,873.246449344927,46.4554946383618,1,1.70201175341229,55.0926671140012,881.881896536085,49.15653593716,NA,1.57125990645581,58.2133190013195,999.937011841773,104.559958588787
984,986.011017372144,49.4839825113359,1,1.53864621360464,58.7791098071648,972.211208804569,48.3268457697178,1,1.56393668562006,57.5162050444943,973.475440335936,48.4573558393042,1,1.67283091474583,57.6471352807325,970.561449955879,48.211596901033,NA,1.44725126850083,57.964125211691,1125.91332829428,114.094002786588
964,1132.41605919302,53.3841165678103,1,1.52739564029379,65.6861929833301,1140.54221092816,54.3070259586666,1,1.56960398057678,67.0686343253839,1144.78545011082,54.8300091862145,1,1.42696245727215,67.6566920019583,1137.65226250216,56.3583862174252,NA,1.26724794114344,69.5545466823766,1279.44696397077,134.224939685635
1049,1108.10895608885,51.9062675620294,2.15307823351194,1.5125208184669,64.7027086447553,1102.07604071861,51.4856388215293,1,1.50485310775162,63.9258776696842,1104.19962489066,51.6790034022238,1,1.60275045605596,64.2277766975556,1104.79151598242,51.7378573668374,1,1.55109289620756,64.3052113837344,1275.51020408163,144.212843605449
1038,969.88517220876,48.6119646339011,1,1.49302670416376,58.435411121823,965.362209012435,48.321913869553,1,1.35485878764164,58.1541566849537,967.424792787684,48.5482720498333,1,1.30745124521897,58.4437483178656,968.393304451643,48.6993143236746,1,1.44163278062675,58.7153546244618,1114.10304862686,113.583471423623
1084,1053.70114905106,51.4607481459811,1,1.53687378549782,62.109267664547,1046.26935281672,50.8734493459376,1,2.0095524137895,61.455544283866,1051.5273851123,51.4155277057484,1,1.70552298625322,62.0681389704079,1053.49338709048,51.6437249891702,1,1.40427398608111,62.7446142079488,1196.77500629882,119.331494866462
1031,981.073912434247,48.7963704253792,1,1.87273865085312,58.3413491708998,981.815807408603,48.9992553369286,1,1.66309814548951,58.7324818330085,985.952320172398,49.5731259113559,1,1.71122295094911,59.690349191502,1119.06387474906,2671.05729264027,1,1.80892319869498,3103.26484885378,1129.85008818342,113.074635919193
951,1021.81887646544,49.932078969724,1,1.67920097184115,60.0188652281477,1016.50383681716,49.6155925402618,1.15390969119705,1.73728145426534,59.8115990108823,1020.1334760739,49.959748858587,1,1.59503598253822,60.3394114484182,1023.13104455478,50.2599858516631,1,1.64911234880978,60.8552659027195,1173.15444696397,121.17440513474
984,970.529039937511,49.3186292015671,1,1.46893823727349,57.6877911377165,963.017860102743,48.7764817145916,1,1.57176956553102,57.5613943524821,969.923953577575,49.5505846329855,1,1.88223679635609,58.5552186579522,974.413615310331,50.0479647296962,1,1.94902468802271,59.2872947756325,1102.29276895943,111.729537344828
1010,995.340102132537,49.7245747257776,1,1.59519732807611,60.0569571343142,988.862368529484,49.2875192623491,1,1.66410846438388,59.5894351387373,1003.96503971437,50.7543604028321,1,2.05260100835483,60.9937036753394,1007.20794330304,51.0273053970029,1,1.89317452098441,61.835016294658,1133.78684807256,125.77848302135
1015,987.554547189351,49.55184139393,1,1.813918480014,59.4385127036206,996.792843537605,50.5457726865358,1,1.95097179280194,60.7293331049729,1004.9871059365,51.4733801155221,1,1.41952430976461,62.0343481628697,1010.77247536947,53.0750310617309,NA,1.54968678251316,63.8590010960068,1121.97656840514,117.691136248114
994,938.270018417217,48.4110915730196,1,1.425801920717,57.5577890876053,939.27490648386,48.6842493662899,1,1.13821173008481,58.0109570571491,944.023113865007,49.3019105720566,1,1.19380986082601,58.7108229193204,944.528879910246,49.329466531237,1,1.1886147143762,58.799260480114,1066.86192995717,107.374525175218
978,1017.57637513631,50.2596051659843,1,1.71248231665889,60.3695805239407,1014.02724167006,49.9970010190223,1,1.6014814598415,60.4204125763548,1021.34878598233,50.7443748330327,1,1.52407011641511,61.5884815187944,1016.94954927652,50.3875662905184,1,1.44557042010975,61.1198993976951,1161.34416729655,122.414782412238
1013,1084.10150539735,51.2869849838329,1,1.51392190733281,62.9614519955245,1084.98597431084,51.445329527736,1,1.26558215002158,63.4761388117374,1085.49670309701,51.5423165205267,1,1.40558265703786,63.7149176725441,1085.14667388674,51.5132262262697,1,1.19814261341472,63.9910339290496,1247.95288485765,134.952782642111
1017,946.315136600417,48.2488549164991,1,1.4495644245718,57.1029429871065,938.821766088274,47.7107892310513,1,1.4518894196082,56.6419580395519,938.821471210047,47.7270667555503,1,1.47581615696654,56.6182163678386,941.694615672693,48.0374761666668,1,1.48364427122332,57.0959451112993,1082.60896951373,108.565615216786
1000,1059.91898303785,51.0328947122537,1,2.01561560218178,62.3525923923043,1052.6659369472,50.5457694211699,1,1.84429750972843,61.9101894705957,1056.99590635715,50.9637937783213,1,1.71524742401035,62.3745226719123,1058.20078290081,51.1674565702212,NA,1.80827381299601,62.6579377471312,1212.52204585538,129.735691119734
1061,1193.09441648032,54.1300166616477,1.20392564758743,2.50227612791764,66.7061495690229,1206.12810816554,55.3132477043546,1,2.26185980302116,68.4700008245539,1206.4503505677,55.4322842083924,1,2.42216359370714,68.7494021025499,1216.36183427593,56.9864389251651,1,2.26979733176209,70.8263864082687,1366.05568153187,154.30783355663
1043,1064.57023981997,51.2428517115554,1,1.39168416941543,61.7069977929298,1057.55464207712,50.796260930462,1,1.83685481466655,61.2613423633838,1068.81188168254,51.8536657681652,1,1.93986234671497,62.4949656663374,1089.97970804586,92.5500014388045,NA,1.79418093604312,109.33244307652,1216.45880574452,120.858973784081
1011,1015.44077323959,50.6640750543542,1,1.80081059955166,61.4611793958261,1009.20120462103,50.2772571118409,1,2.03069871378469,61.0768201112191,1016.99243165101,51.0203134029546,1,1.92646736476443,62.0898122163047,1029.99308999729,54.3487386997715,1,1.62205780023643,66.2678967093665,1149.53388762913,130.743496413078
1040,1000.82091385429,49.6713939925455,1,1.48531496267661,59.980940526098,995.224477295096,49.2318055240595,1,1.80591775516362,59.401551429935,1000.39545669333,49.7403744784693,1,1.66700395719836,60.0319532287282,1002.69675458057,50.4972338836479,1,1.9295491075192,60.9357524580379,1145.59712773998,120.318745467634
994,1017.54893353645,50.0748996461897,1,1.56836680128991,59.5135320778754,1014.40345373511,49.8270382508883,1,1.65239706987662,59.2048147719557,1017.24531097075,50.1495868367549,1,1.51375229174534,59.824079683773,1020.15032787582,50.5875180726326,1,1.60006300681305,60.6565611552972,1165.28092718569,115.400832440672
1039,1028.77497153929,50.3625225578383,1,1.13171275547466,60.9272469810028,1022.08258477277,49.8561553741891,1,1.26788409322395,60.2313860943267,1023.48386990739,49.989859562848,1,1.48447254804788,60.3604871019416,1025.20816488723,50.2639381916939,1,1.53923878745793,60.7103006731579,1177.09120685311,117.779940813115
